
step 0: train loss 10.9116, val loss 10.9079
iter 0: loss 10.9221, time 64387.30ms, mfu -100.00%
iter 10: loss 10.5771, time 882.30ms, mfu 12.06%
iter 20: loss 10.1368, time 626.74ms, mfu 12.56%
iter 30: loss 9.8918, time 628.01ms, mfu 12.99%
iter 40: loss 9.7339, time 629.24ms, mfu 13.39%
iter 50: loss 9.3966, time 626.18ms, mfu 13.75%
iter 60: loss 9.4381, time 627.53ms, mfu 14.07%
iter 70: loss 9.1950, time 626.90ms, mfu 14.36%
iter 80: loss 9.0150, time 629.02ms, mfu 14.62%
iter 90: loss 8.6591, time 631.96ms, mfu 14.84%
iter 100: loss 8.6177, time 629.19ms, mfu 15.05%
iter 110: loss 8.2638, time 629.70ms, mfu 15.23%
iter 120: loss 7.8827, time 628.01ms, mfu 15.40%
iter 130: loss 7.8666, time 630.14ms, mfu 15.55%
iter 140: loss 7.6562, time 627.32ms, mfu 15.69%
iter 150: loss 7.1890, time 627.80ms, mfu 15.82%
iter 160: loss 7.1869, time 631.23ms, mfu 15.92%
iter 170: loss 7.2103, time 629.97ms, mfu 16.02%
iter 180: loss 7.0512, time 630.31ms, mfu 16.11%
iter 190: loss 7.1047, time 626.77ms, mfu 16.19%
iter 200: loss 6.9743, time 627.83ms, mfu 16.27%
iter 210: loss 6.7211, time 628.40ms, mfu 16.34%
iter 220: loss 6.6612, time 628.18ms, mfu 16.40%
iter 230: loss 6.8692, time 631.82ms, mfu 16.44%
iter 240: loss 6.7445, time 626.60ms, mfu 16.50%
iter 250: loss 6.7640, time 628.77ms, mfu 16.54%
iter 260: loss 6.4830, time 625.78ms, mfu 16.59%
iter 270: loss 6.6442, time 629.36ms, mfu 16.62%
iter 280: loss 6.4466, time 628.08ms, mfu 16.65%
iter 290: loss 6.4507, time 632.34ms, mfu 16.67%
iter 300: loss 6.1593, time 626.73ms, mfu 16.70%
iter 310: loss 6.8787, time 628.28ms, mfu 16.73%
iter 320: loss 6.4851, time 628.01ms, mfu 16.75%
iter 330: loss 6.3345, time 627.59ms, mfu 16.77%
iter 340: loss 6.4147, time 629.20ms, mfu 16.78%
iter 350: loss 6.6329, time 629.42ms, mfu 16.80%
iter 360: loss 6.1342, time 627.26ms, mfu 16.81%
iter 370: loss 6.3483, time 627.66ms, mfu 16.83%
iter 380: loss 6.3031, time 628.05ms, mfu 16.84%
iter 390: loss 6.4669, time 627.04ms, mfu 16.85%
iter 400: loss 6.2616, time 627.33ms, mfu 16.86%
iter 410: loss 6.2209, time 628.53ms, mfu 16.87%
iter 420: loss 6.1430, time 629.21ms, mfu 16.88%
iter 430: loss 6.2050, time 628.47ms, mfu 16.88%
iter 440: loss 5.9819, time 628.06ms, mfu 16.89%
iter 450: loss 5.8835, time 632.99ms, mfu 16.88%
iter 460: loss 6.0208, time 627.06ms, mfu 16.89%
iter 470: loss 5.8478, time 629.67ms, mfu 16.89%
iter 480: loss 5.8541, time 627.89ms, mfu 16.90%
iter 490: loss 5.8215, time 629.82ms, mfu 16.90%
iter 500: loss 6.0869, time 628.56ms, mfu 16.90%
iter 510: loss 6.0688, time 628.43ms, mfu 16.90%
iter 520: loss 6.0492, time 628.70ms, mfu 16.91%
iter 530: loss 5.6926, time 628.10ms, mfu 16.91%
iter 540: loss 5.8851, time 627.72ms, mfu 16.92%
iter 550: loss 5.8789, time 628.06ms, mfu 16.92%
iter 560: loss 5.9124, time 629.05ms, mfu 16.92%
iter 570: loss 6.0037, time 627.12ms, mfu 16.92%
iter 580: loss 5.7068, time 628.78ms, mfu 16.92%
iter 590: loss 5.8611, time 628.46ms, mfu 16.93%
iter 600: loss 5.7625, time 628.67ms, mfu 16.93%
iter 610: loss 5.8975, time 632.81ms, mfu 16.92%
iter 620: loss 5.9585, time 631.29ms, mfu 16.91%
iter 630: loss 5.7259, time 627.44ms, mfu 16.92%
iter 640: loss 5.9356, time 629.07ms, mfu 16.92%
iter 650: loss 5.7339, time 629.14ms, mfu 16.92%
iter 660: loss 5.6285, time 627.36ms, mfu 16.92%
iter 670: loss 5.6801, time 628.41ms, mfu 16.92%
